No,STATE_CODE,STATE_NAME,DISTRICT_CODE,DISTRICT_NAME,TAHSIL_CODE,TAHSIL_NAME,VILLAGE_CODE,VILLAGE_NAME,Buffaloes,Cattle,Goats,Pigs,Sheep,Cattle + Buffalo,Sheep + Goat,All
1867,29,KARNATAKA,555,Belgaum,5438,Belgaum,597760,Yaddalabhavi-Hatti,161,43,97,0,0,204,97,301
1868,29,KARNATAKA,555,Belgaum,5438,Belgaum,597776,Kamakarahatti,240,43,141,0,8,283,149,432
1896,29,KARNATAKA,555,Belgaum,5439,Khanapur,597969,Bhatewadi,11,44,0,0,0,55,0,55
1909,29,KARNATAKA,555,Belgaum,5439,Khanapur,597953,Padalwadi,28,44,0,0,0,72,0,72
1954,29,KARNATAKA,555,Belgaum,5439,Khanapur,597830,Kabanali,52,45,0,0,0,97,0,97
1956,29,KARNATAKA,555,Belgaum,5439,Khanapur,597938,Gangawali,67,45,15,0,2,112,17,129
2009,29,KARNATAKA,555,Belgaum,5439,Khanapur,597852,Khemewadi,72,46,26,0,0,118,26,144
2152,29,KARNATAKA,555,Belgaum,5439,Khanapur,597968,Shindholli (B K ),20,49,0,0,0,69,0,69
2164,29,KARNATAKA,555,Belgaum,5438,Belgaum,597668,Parsenahatti,78,49,157,0,0,127,157,284
2199,29,KARNATAKA,555,Belgaum,5439,Khanapur,597958,Potoli,15,50,0,0,0,65,0,65
2222,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598109,Channapur,50,50,3,0,0,100,3,103
2226,29,KARNATAKA,555,Belgaum,5439,Khanapur,597832,Kanjale,91,50,0,0,0,141,0,141
2229,29,KARNATAKA,555,Belgaum,5441,Parasgad,598189,Chikkabudanur,118,50,465,0,5040,168,5505,5673
2230,29,KARNATAKA,555,Belgaum,5439,Khanapur,597868,Rumewadi,148,50,29,0,0,198,29,227
2231,29,KARNATAKA,555,Belgaum,5434,Athni,597273,Mavinahatti,163,50,198,0,283,213,481,694
2233,29,KARNATAKA,555,Belgaum,5433,Chikodi,597199,Thapakarwadi,175,50,32,0,0,225,32,257
2278,29,KARNATAKA,555,Belgaum,5441,Parasgad,598237,Mugali,41,51,42,0,72,92,114,206
2279,29,KARNATAKA,555,Belgaum,5439,Khanapur,597949,Bhalake (K H ),42,51,19,0,0,93,19,112
2281,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598314,Gudagumnal,46,51,43,0,0,97,43,140
2289,29,KARNATAKA,555,Belgaum,5437,Hukeri,597666,Gumchinmardi,136,51,55,26,0,187,55,268
2291,29,KARNATAKA,555,Belgaum,5437,Hukeri,597570,Sankeshwar (R),286,51,60,0,0,337,60,397
2428,29,KARNATAKA,555,Belgaum,5441,Parasgad,598202,Mahantheshnagar,47,54,45,0,0,101,45,146
2477,29,KARNATAKA,555,Belgaum,5439,Khanapur,598001,Adi,57,55,23,0,0,112,23,135
2531,29,KARNATAKA,555,Belgaum,5439,Khanapur,597964,Chinchewadi,19,56,0,0,0,75,0,75
2548,29,KARNATAKA,555,Belgaum,5439,Khanapur,598003,Chankebail,96,56,10,0,0,152,10,162
2551,29,KARNATAKA,555,Belgaum,5441,Parasgad,598206,Girinagar,207,56,188,0,0,263,188,451
2615,29,KARNATAKA,555,Belgaum,5437,Hukeri,597553,Shekinhosur,128,57,68,0,0,185,68,253
2616,29,KARNATAKA,555,Belgaum,5437,Hukeri,597548,Naganur K S,239,57,127,0,0,296,127,423
2670,29,KARNATAKA,555,Belgaum,5439,Khanapur,597903,Deminkop,128,58,58,0,0,186,58,244
2673,29,KARNATAKA,555,Belgaum,5437,Hukeri,597573,Masarguppi,452,58,169,0,0,510,169,679
2686,29,KARNATAKA,555,Belgaum,5439,Khanapur,597961,Manjarpai (K G ),4,59,0,0,0,63,0,63
2790,29,KARNATAKA,555,Belgaum,5438,Belgaum,597677,Kurihal (B K),60,60,45,0,45,120,90,210
2797,29,KARNATAKA,555,Belgaum,5437,Hukeri,597574,Gavanal,255,60,31,0,0,315,31,346
2893,29,KARNATAKA,555,Belgaum,5433,Chikodi,597136,Gayakanawadi,227,62,337,0,2528,289,2865,3154
2961,29,KARNATAKA,555,Belgaum,5439,Khanapur,597835,Daroli,102,63,0,0,0,165,0,165
3014,29,KARNATAKA,555,Belgaum,5438,Belgaum,597801,Machche (CT),227,64,64,0,6,291,70,361
3046,29,KARNATAKA,555,Belgaum,5439,Khanapur,597803,Huland,21,65,0,0,0,86,0,86
3059,29,KARNATAKA,555,Belgaum,5441,Parasgad,598235,Gurlhosur,39,65,0,0,0,104,0,104
3069,29,KARNATAKA,555,Belgaum,5439,Khanapur,598013,Kukenatti Alias (Ramapur),73,65,43,0,0,138,43,181
3131,29,KARNATAKA,555,Belgaum,5439,Khanapur,597865,Halakarni,103,66,43,0,0,169,43,212
3132,29,KARNATAKA,555,Belgaum,5433,Chikodi,597124,Bolewadi,215,66,29,0,87,281,116,397
3191,29,KARNATAKA,555,Belgaum,5439,Khanapur,597857,Jainkoppa,89,67,53,0,0,156,53,209
3193,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598103,Timmapur,125,67,67,0,0,192,67,259
3245,29,KARNATAKA,555,Belgaum,5439,Khanapur,597936,Shedegali,109,68,0,0,0,177,0,177
3347,29,KARNATAKA,555,Belgaum,5439,Khanapur,597918,Pastoli,18,70,17,0,0,88,17,105
3374,29,KARNATAKA,555,Belgaum,5438,Belgaum,597690,Alatage,60,70,60,0,60,130,120,250
3389,29,KARNATAKA,555,Belgaum,5433,Chikodi,597146,Tavadi,410,70,164,0,0,480,164,644
3448,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598397,Shivapeth,55,71,164,0,279,126,443,569
3457,29,KARNATAKA,555,Belgaum,5437,Hukeri,597660,Yallapur,237,71,70,0,0,308,70,378
3458,29,KARNATAKA,555,Belgaum,5433,Chikodi,597121,Hanabarawadi,524,71,110,0,501,595,611,1206
3459,29,KARNATAKA,555,Belgaum,5433,Chikodi,597114,Hadnal,868,71,21,0,0,939,21,960
3524,29,KARNATAKA,555,Belgaum,5439,Khanapur,597833,Amboli,100,72,0,0,0,172,0,172
3575,29,KARNATAKA,555,Belgaum,5439,Khanapur,597850,Singinkop,143,73,19,0,0,216,19,235
3623,29,KARNATAKA,555,Belgaum,5437,Hukeri,597624,Ankalgudiketra,126,74,122,0,0,200,122,322
3624,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598108,Giriyal-Kariyat,130,74,61,0,1,204,62,266
3626,29,KARNATAKA,555,Belgaum,5438,Belgaum,597716,Sulge (Uchagaon),793,74,197,0,1078,867,1275,2142
3686,29,KARNATAKA,555,Belgaum,5437,Hukeri,597641,Bellanki,129,75,42,0,0,204,42,246
3687,29,KARNATAKA,555,Belgaum,5434,Athni,597279,Shahapur,305,75,5,0,0,380,5,385
3688,29,KARNATAKA,555,Belgaum,5433,Chikodi,597177,Yadyanawadi,451,75,21,0,0,526,21,547
3743,29,KARNATAKA,555,Belgaum,5433,Chikodi,597187,Shiddapurwadi,287,76,53,0,336,363,389,752
3799,29,KARNATAKA,555,Belgaum,5439,Khanapur,597940,Shindholli,60,77,12,0,0,137,12,149
3801,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598122,Bailhongal (Rural),62,77,0,0,0,139,0,139
3810,29,KARNATAKA,555,Belgaum,5438,Belgaum,597762,Balekundri (B K),303,77,0,0,0,380,0,380
3863,29,KARNATAKA,555,Belgaum,5439,Khanapur,597862,Dukkarwadi,97,78,40,0,0,175,40,215
3866,29,KARNATAKA,555,Belgaum,5438,Belgaum,597751,Zad-Shahapur,163,78,21,0,4,241,25,266
3867,29,KARNATAKA,555,Belgaum,5437,Hukeri,597560,Bad,270,78,135,0,242,348,377,725
3868,29,KARNATAKA,555,Belgaum,5433,Chikodi,597145,Gavan,360,78,79,0,0,438,79,517
3869,29,KARNATAKA,555,Belgaum,5437,Hukeri,597628,Jinaral,602,78,407,0,210,680,617,1297
3899,29,KARNATAKA,555,Belgaum,5439,Khanapur,597916,Degaon,11,79,21,0,0,90,21,111
3937,29,KARNATAKA,555,Belgaum,5439,Khanapur,597939,Savargali,81,79,26,0,0,160,26,186
3938,29,KARNATAKA,555,Belgaum,5439,Khanapur,597836,Otoli,84,79,20,0,0,163,20,183
3941,29,KARNATAKA,555,Belgaum,5439,Khanapur,597866,Manasapur,112,79,47,0,0,191,47,238
3986,29,KARNATAKA,555,Belgaum,5441,Parasgad,598164,Korakoppa,43,80,191,0,851,123,1042,1165
4003,29,KARNATAKA,555,Belgaum,5439,Khanapur,597971,Ghotagali,108,80,77,0,0,188,77,265
4004,29,KARNATAKA,555,Belgaum,5437,Hukeri,597642,Dhondagatti,184,80,57,0,0,264,57,321
4005,29,KARNATAKA,555,Belgaum,5437,Hukeri,597562,Akkiwat,375,80,213,0,0,455,213,668
4019,29,KARNATAKA,555,Belgaum,5439,Khanapur,597976,Bamanakop,5,81,4,0,0,86,4,90
4043,29,KARNATAKA,555,Belgaum,5439,Khanapur,597965,Kodagai,45,81,0,0,0,126,0,126
4056,29,KARNATAKA,555,Belgaum,5436,Gokak,597497,Budihal,121,81,66,0,0,202,66,268
4057,29,KARNATAKA,555,Belgaum,5439,Khanapur,597848,Idalhond,131,81,0,0,0,212,0,212
4058,29,KARNATAKA,555,Belgaum,5433,Chikodi,597165,Bhimapurwadi,338,81,89,0,0,419,89,508
4073,29,KARNATAKA,555,Belgaum,5439,Khanapur,597815,Gawase,3,82,0,0,0,85,0,85
4104,29,KARNATAKA,555,Belgaum,5439,Khanapur,597952,Karanjal,32,82,0,0,0,114,0,114
4131,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598082,Kulamanatti,191,82,115,0,80,273,195,468
4207,29,KARNATAKA,555,Belgaum,5441,Parasgad,598226,Venkateshnagar,113,83,107,0,7,196,114,310
4209,29,KARNATAKA,555,Belgaum,5439,Khanapur,597883,Jikanur,189,83,74,0,0,272,74,346
4287,29,KARNATAKA,555,Belgaum,5439,Khanapur,597893,Shivoli,104,84,30,0,0,188,30,218
4288,29,KARNATAKA,555,Belgaum,5439,Khanapur,597829,Mugawade,115,84,0,0,0,199,0,199
4291,29,KARNATAKA,555,Belgaum,5439,Khanapur,597892,Allehol,130,84,11,0,0,214,11,225
4348,29,KARNATAKA,555,Belgaum,5439,Khanapur,597967,Shindholi (K H ),84,85,0,0,0,169,0,169
4350,29,KARNATAKA,555,Belgaum,5439,Khanapur,597950,Bhalake(B K),89,85,25,0,0,174,25,199
4354,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598064,Kallur,124,85,37,0,3,209,40,249
4408,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598343,Bennur,87,86,125,0,239,173,364,537
4410,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598306,Kadampur,97,86,34,0,0,183,34,217
4414,29,KARNATAKA,555,Belgaum,5437,Hukeri,597557,Karajage,337,86,129,0,0,423,129,552
4462,29,KARNATAKA,555,Belgaum,5438,Belgaum,597741,Kuttalawadi,201,87,24,0,0,288,24,312
4515,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598315,Rokkadakatti,45,88,121,0,312,133,433,566
4529,29,KARNATAKA,555,Belgaum,5439,Khanapur,597820,Devachihatti,119,88,48,0,0,207,48,255
4569,29,KARNATAKA,555,Belgaum,5439,Khanapur,597897,Channewadi,47,89,0,0,0,136,0,136
4591,29,KARNATAKA,555,Belgaum,5439,Khanapur,597992,Doddebail,116,89,2,0,0,205,2,207
4661,29,KARNATAKA,555,Belgaum,5439,Khanapur,597860,Bhandargali,91,90,111,0,0,181,111,292
4667,29,KARNATAKA,555,Belgaum,5438,Belgaum,597756,Chandur,135,90,136,0,0,225,136,361
4698,29,KARNATAKA,555,Belgaum,5439,Khanapur,597979,Sulegali,12,91,0,0,0,103,0,103
4738,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598128,Chikkmulakur,148,91,6,0,0,239,6,245
4779,29,KARNATAKA,555,Belgaum,5438,Belgaum,597671,Godihal,45,92,0,0,19,137,19,156
4789,29,KARNATAKA,555,Belgaum,5439,Khanapur,597941,Dhokegali,59,92,0,0,0,151,0,151
4804,29,KARNATAKA,555,Belgaum,5434,Athni,597258,Vishnuvadi,402,92,196,0,0,494,196,690
4844,29,KARNATAKA,555,Belgaum,5439,Khanapur,598007,Balagund,23,93,0,0,0,116,0,116
4874,29,KARNATAKA,555,Belgaum,5439,Khanapur,597925,Teregali,95,93,51,0,0,188,51,239
4877,29,KARNATAKA,555,Belgaum,5438,Belgaum,597761,Modge,128,93,0,0,0,221,0,221
4878,29,KARNATAKA,555,Belgaum,5438,Belgaum,597711,Attiwad,263,93,34,0,10,356,44,400
4924,29,KARNATAKA,555,Belgaum,5439,Khanapur,597931,Kirawale (K G ),59,94,29,0,0,153,29,182
4934,29,KARNATAKA,555,Belgaum,5439,Khanapur,597996,Chick-Angrolli,93,94,12,0,0,187,12,199
4936,29,KARNATAKA,555,Belgaum,5439,Khanapur,598020,Pur,99,94,60,0,0,193,60,253
4940,29,KARNATAKA,555,Belgaum,5433,Chikodi,597127,Lakhanapur,476,94,232,0,0,570,232,802
4971,29,KARNATAKA,555,Belgaum,5439,Khanapur,597915,Mendil,14,95,15,0,0,109,15,124
4998,29,KARNATAKA,555,Belgaum,5438,Belgaum,597682,Mahalenahatti,135,95,304,0,0,230,304,534
5017,29,KARNATAKA,555,Belgaum,5439,Khanapur,597922,Abanali,12,96,12,0,0,108,12,120
5057,29,KARNATAKA,555,Belgaum,5439,Khanapur,597920,Jamagaon,62,96,21,0,0,158,21,179
5069,29,KARNATAKA,555,Belgaum,5436,Gokak,597496,Yaddalgudd,105,96,55,0,0,201,55,256
5076,29,KARNATAKA,555,Belgaum,5433,Chikodi,597191,Roopanal,592,96,110,0,0,688,110,798
5129,29,KARNATAKA,555,Belgaum,5439,Khanapur,597951,Shimpewadi,90,97,28,0,0,187,28,215
5194,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598043,Bairanatti,192,98,69,0,0,290,69,359
5258,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598071,Kesarkoppa,85,99,13,0,49,184,62,246
5264,29,KARNATAKA,555,Belgaum,5436,Gokak,597477,Madawal,621,99,381,0,6,720,387,1107
5265,29,KARNATAKA,555,Belgaum,5433,Chikodi,597122,Hanchinal (K S ),733,99,24,0,0,832,24,856
5344,29,KARNATAKA,555,Belgaum,5434,Athni,597290,Navalihal,343,100,376,21,0,443,376,840
5356,29,KARNATAKA,555,Belgaum,5439,Khanapur,597960,Satanali,2,101,0,0,0,103,0,103
5386,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598305,Gudakatti,56,101,62,0,49,157,111,268
5398,29,KARNATAKA,555,Belgaum,5438,Belgaum,597774,Shaganamatti,242,101,13,0,0,343,13,356
5399,29,KARNATAKA,555,Belgaum,5433,Chikodi,597212,Kuthali,300,101,113,0,0,401,113,514
5464,29,KARNATAKA,555,Belgaum,5433,Chikodi,597148,Kasanal,289,102,99,0,0,391,99,490
5465,29,KARNATAKA,555,Belgaum,5433,Chikodi,597211,Dhulaganawadi,376,102,134,0,0,478,134,612
5512,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598028,Ujjanatti,64,103,92,0,90,167,182,349
5551,29,KARNATAKA,555,Belgaum,5439,Khanapur,597959,Machali,43,104,0,0,0,147,0,147
5565,29,KARNATAKA,555,Belgaum,5441,Parasgad,598159,Govanakoppa K S,73,104,59,0,22,177,81,258
5571,29,KARNATAKA,555,Belgaum,5437,Hukeri,597611,Goudawad,302,104,147,70,0,406,147,623
5572,29,KARNATAKA,555,Belgaum,5434,Athni,597256,Aralihatti,461,104,162,0,89,565,251,816
5573,29,KARNATAKA,555,Belgaum,5433,Chikodi,597126,Padlihal,508,104,93,0,0,612,93,705
5676,29,KARNATAKA,555,Belgaum,5441,Parasgad,598209,Dundanakoppa,63,106,219,0,0,169,219,388
5760,29,KARNATAKA,555,Belgaum,5439,Khanapur,597844,Bacholi,89,107,29,0,0,196,29,225
5768,29,KARNATAKA,555,Belgaum,5433,Chikodi,597243,Pogatyanatti,644,107,123,0,0,751,123,874
5825,29,KARNATAKA,555,Belgaum,5441,Parasgad,598227,Aladakatti K Y,51,108,139,0,26,159,165,324
5909,29,KARNATAKA,555,Belgaum,5437,Hukeri,597643,Shettihalli,180,109,166,0,0,289,166,455
5910,29,KARNATAKA,555,Belgaum,5439,Khanapur,597933,Sangargali,252,109,39,0,0,361,39,400
5911,29,KARNATAKA,555,Belgaum,5438,Belgaum,597706,Kalakhamb,387,109,35,0,0,496,35,531
6011,29,KARNATAKA,555,Belgaum,5439,Khanapur,597986,Karajagi,39,111,31,0,0,150,31,181
6036,29,KARNATAKA,555,Belgaum,5436,Gokak,597470,Gaddiholi,115,111,83,0,0,226,83,309
6038,29,KARNATAKA,555,Belgaum,5436,Gokak,597499,Panjanatti,233,111,41,0,0,344,41,385
6039,29,KARNATAKA,555,Belgaum,5433,Chikodi,597172,Nanadiwadi,364,111,40,0,0,475,40,515
6098,29,KARNATAKA,555,Belgaum,5433,Chikodi,597203,Manuchiwadi,310,112,52,0,0,422,52,474
6099,29,KARNATAKA,555,Belgaum,5434,Athni,597296,Banajawad,629,112,10,0,0,741,10,751
6160,29,KARNATAKA,555,Belgaum,5433,Chikodi,597160,Shivapurawadi,380,113,22,0,0,493,22,515
6283,29,KARNATAKA,555,Belgaum,5439,Khanapur,597861,Baragaon,184,115,150,0,0,299,150,449
6337,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598304,Channatti,60,116,89,0,173,176,262,438
6353,29,KARNATAKA,555,Belgaum,5433,Chikodi,597204,Sankanwadi,316,116,116,0,399,432,515,947
6381,29,KARNATAKA,555,Belgaum,5439,Khanapur,597973,Tarawad,19,117,0,0,0,136,0,136
6410,29,KARNATAKA,555,Belgaum,5439,Khanapur,597932,Ambewadi,67,117,42,0,0,184,42,226
6415,29,KARNATAKA,555,Belgaum,5439,Khanapur,597863,Mudewadi,93,117,16,0,0,210,16,226
6495,29,KARNATAKA,555,Belgaum,5434,Athni,597257,Bammanal,364,118,62,0,15,482,77,559
6496,29,KARNATAKA,555,Belgaum,5433,Chikodi,597154,Shiradwad,813,118,457,0,762,931,1219,2150
6520,29,KARNATAKA,555,Belgaum,5439,Khanapur,597980,Nagaragali,29,119,43,0,0,148,43,191
6555,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598347,Totagatti,138,119,65,0,78,257,143,400
6559,29,KARNATAKA,555,Belgaum,5439,Khanapur,597871,Jalage,160,119,0,0,0,279,0,279
6614,29,KARNATAKA,555,Belgaum,5439,Khanapur,597978,Bastawad,49,120,33,0,0,169,33,202
6622,29,KARNATAKA,555,Belgaum,5438,Belgaum,597680,Bodakyanhatti,79,120,40,0,100,199,140,339
6636,29,KARNATAKA,555,Belgaum,5439,Khanapur,597888,Kagganagi,251,120,33,0,0,371,33,404
6638,29,KARNATAKA,555,Belgaum,5439,Khanapur,597823,Uchawade,294,120,0,0,0,414,0,414
6639,29,KARNATAKA,555,Belgaum,5434,Athni,597332,Keskaradaddi,314,120,207,0,1383,434,1590,2024
6696,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598355,Gokulnagar,69,121,250,0,42,190,292,482
6707,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598309,Panchagaon,152,121,104,0,928,273,1032,1305
6714,29,KARNATAKA,555,Belgaum,5436,Gokak,597478,Iranattti,402,121,661,0,722,523,1383,1906
6762,29,KARNATAKA,555,Belgaum,5441,Parasgad,598204,Shivanagar,56,122,127,0,0,178,127,305
6774,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598101,Bassapur,110,122,0,0,0,232,0,232
6781,29,KARNATAKA,555,Belgaum,5439,Khanapur,597876,Yadoga,146,122,106,0,0,268,106,374
6842,29,KARNATAKA,555,Belgaum,5439,Khanapur,598008,Tavargatti,53,123,2,0,0,176,2,178
6856,29,KARNATAKA,555,Belgaum,5436,Gokak,597458,Gokak (Rural),83,123,268,0,1863,206,2131,2337
6863,29,KARNATAKA,555,Belgaum,5441,Parasgad,598203,Jangamabudagatti,162,123,98,0,1,285,99,384
6864,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598072,Amarapur,178,123,1,0,0,301,1,302
6865,29,KARNATAKA,555,Belgaum,5437,Hukeri,597552,Bhairapur,498,123,429,0,0,621,429,1050
6937,29,KARNATAKA,555,Belgaum,5439,Khanapur,597989,Gundapi,251,124,46,0,0,375,46,421
6939,29,KARNATAKA,555,Belgaum,5438,Belgaum,597794,Kangrali (KH) (CT),406,124,79,0,0,530,79,609
7003,29,KARNATAKA,555,Belgaum,5439,Khanapur,597947,Diggegali,80,125,18,0,0,205,18,223
7154,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598115,Dombarkoppa,127,127,29,0,0,254,29,283
7159,29,KARNATAKA,555,Belgaum,5439,Khanapur,597997,Hulikottal,161,127,16,0,0,288,16,304
7163,29,KARNATAKA,555,Belgaum,5438,Belgaum,597775,Kondaskoppa,803,127,225,0,2299,930,2524,3454
7204,29,KARNATAKA,555,Belgaum,5439,Khanapur,597972,Devarai,50,128,3,0,0,178,3,181
7226,29,KARNATAKA,555,Belgaum,5439,Khanapur,597846,Ganebail,151,128,32,0,22,279,54,333
7229,29,KARNATAKA,555,Belgaum,5437,Hukeri,597616,Ingali,968,128,191,82,254,1096,445,1623
7304,29,KARNATAKA,555,Belgaum,5436,Gokak,597479,Telaginahatti,464,129,1417,0,3779,593,5196,5789
7337,29,KARNATAKA,555,Belgaum,5441,Parasgad,598253,Renukanagar,46,130,270,0,19,176,289,465
7363,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598358,Kankanwadi,145,130,81,0,190,275,271,546
7365,29,KARNATAKA,555,Belgaum,5437,Hukeri,597622,Hattialur,163,130,564,0,578,293,1142,1435
7429,29,KARNATAKA,555,Belgaum,5441,Parasgad,598169,Kotur,141,131,67,0,30,272,97,369
7433,29,KARNATAKA,555,Belgaum,5437,Hukeri,597639,Attihal,241,131,75,0,0,372,75,447
7499,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598138,Lingadahalli,154,132,15,0,0,286,15,301
7505,29,KARNATAKA,555,Belgaum,5433,Chikodi,597117,Bhatnaganur,403,132,118,0,0,535,118,653
7563,29,KARNATAKA,555,Belgaum,5439,Khanapur,597987,Kirhalashi,82,133,45,0,0,215,45,260
7569,29,KARNATAKA,555,Belgaum,5439,Khanapur,597807,Parwad,92,133,43,0,0,225,43,268
7584,29,KARNATAKA,555,Belgaum,5437,Hukeri,597610,Bastawad,432,133,130,51,0,565,130,746
7609,29,KARNATAKA,555,Belgaum,5439,Khanapur,597917,Gavali,31,134,21,0,0,165,21,186
7617,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598318,Somapur,49,134,116,0,45,183,161,344
7643,29,KARNATAKA,555,Belgaum,5439,Khanapur,597937,Honakal,171,134,47,0,0,305,47,352
7686,29,KARNATAKA,555,Belgaum,5439,Khanapur,597817,Chapoli,56,135,41,0,0,191,41,232
7700,29,KARNATAKA,555,Belgaum,5441,Parasgad,598208,Karimani,116,135,195,0,1,251,196,447
7705,29,KARNATAKA,555,Belgaum,5437,Hukeri,597603,Raxi,380,135,332,0,1178,515,1510,2025
7735,29,KARNATAKA,555,Belgaum,5439,Khanapur,597919,Kongale,31,136,17,0,0,167,17,184
7775,29,KARNATAKA,555,Belgaum,5433,Chikodi,597159,Gajabarwadi,435,136,22,0,0,571,22,593
7776,29,KARNATAKA,555,Belgaum,5433,Chikodi,597225,Bidrahalli,601,136,446,52,0,737,446,1235
7826,29,KARNATAKA,555,Belgaum,5439,Khanapur,597870,Koundal,73,137,0,0,3,210,3,213
7840,29,KARNATAKA,555,Belgaum,5441,Parasgad,598183,Jalikatti,113,137,107,0,62,250,169,419
7844,29,KARNATAKA,555,Belgaum,5433,Chikodi,597200,Pangire (A),199,137,115,0,0,336,115,451
7846,29,KARNATAKA,555,Belgaum,5433,Chikodi,597236,Hanchinal (K K ),473,137,260,0,0,610,260,870
7972,29,KARNATAKA,555,Belgaum,5440,Sampgaon,598137,Arawalli,101,139,44,0,1,240,45,285
7982,29,KARNATAKA,555,Belgaum,5438,Belgaum,597708,Aste,416,139,10,0,0,555,10,565
7983,29,KARNATAKA,555,Belgaum,5433,Chikodi,597201,Rampur,439,139,125,0,0,578,125,703
7984,29,KARNATAKA,555,Belgaum,5437,Hukeri,597604,Shiragaon,572,139,122,0,168,711,290,1001
8052,29,KARNATAKA,555,Belgaum,5439,Khanapur,597944,Kamatage,196,140,41,0,0,336,41,377
